Cost,Prob,Real_Goal,Results,Time
0.3154063820838928/0.17597632110118866/0.5086172223091125/,0.3154063820838928/0.17597632110118866/0.5086172223091125/,0.0,2/,0.0005011558532714844
0.2536945343017578/0.26531141996383667/0.48099401593208313/,0.2536945343017578/0.26531141996383667/0.48099401593208313/,0.0,2/,0.0008530616760253906
0.4880576431751251/0.22420193254947662/0.28774043917655945/,0.4880576431751251/0.22420193254947662/0.28774043917655945/,0.0,0/,0.00093841552734375
0.7344605922698975/0.22549085319042206/0.04004845768213272/,0.7344605922698975/0.22549085319042206/0.04004845768213272/,0.0,0/,0.0011477470397949219
0.5576603412628174/0.4051099419593811/0.03722972050309181/,0.5576603412628174/0.4051099419593811/0.03722972050309181/,0.0,0/,0.0009751319885253906
0.460853636264801/0.13634584844112396/0.4028005301952362/,0.460853636264801/0.13634584844112396/0.4028005301952362/,1.0,0/,0.0006530284881591797
0.5565287470817566/0.1600804626941681/0.2833908200263977/,0.5565287470817566/0.1600804626941681/0.2833908200263977/,1.0,0/,0.0007710456848144531
0.5299052000045776/0.16321785748004913/0.3068769574165344/,0.5299052000045776/0.16321785748004913/0.3068769574165344/,1.0,0/,0.001470327377319336
0.009761502966284752/0.34363895654678345/0.646599531173706/,0.009761502966284752/0.34363895654678345/0.646599531173706/,1.0,2/,0.0011429786682128906
0.4310609996318817/0.44687730073928833/0.12206173688173294/,0.4310609996318817/0.44687730073928833/0.12206173688173294/,1.0,1/,0.001987934112548828
0.495152086019516/0.1039629802107811/0.4008849561214447/,0.495152086019516/0.1039629802107811/0.4008849561214447/,2.0,0/,0.0008101463317871094
0.28027456998825073/0.5156973004341125/0.20402808487415314/,0.28027456998825073/0.5156973004341125/0.20402808487415314/,2.0,1/,0.0007376670837402344
0.12404690682888031/0.624871551990509/0.25108155608177185/,0.12404690682888031/0.624871551990509/0.25108155608177185/,2.0,1/,0.0012409687042236328
0.13510139286518097/0.5983688235282898/0.26652979850769043/,0.13510139286518097/0.5983688235282898/0.26652979850769043/,2.0,1/,0.0007479190826416016
0.46808722615242004/0.1746746152639389/0.357238233089447/,0.46808722615242004/0.1746746152639389/0.357238233089447/,2.0,0/,0.0011429786682128906
0.4069135785102844/0.14775192737579346/0.4453345239162445/,0.4069135785102844/0.14775192737579346/0.4453345239162445/,0.0,2/,0.0005328655242919922
0.4659944772720337/0.16021521389484406/0.37379032373428345/,0.4659944772720337/0.16021521389484406/0.37379032373428345/,0.0,0/,0.0005819797515869141
0.6035433411598206/0.36528000235557556/0.03117666020989418/,0.6035433411598206/0.36528000235557556/0.03117666020989418/,0.0,0/,0.0005750656127929688
0.26372185349464417/0.7155632376670837/0.020714890211820602/,0.26372185349464417/0.7155632376670837/0.020714890211820602/,0.0,1/,0.0009322166442871094
0.1976895034313202/0.5570884346961975/0.2452220469713211/,0.1976895034313202/0.5570884346961975/0.2452220469713211/,0.0,1/,0.0008168220520019531
0.1875101774930954/0.6127734780311584/0.19971638917922974/,0.1875101774930954/0.6127734780311584/0.19971638917922974/,1.0,1/,0.0004532337188720703
0.18588648736476898/0.05751553177833557/0.7565979957580566/,0.18588648736476898/0.05751553177833557/0.7565979957580566/,1.0,2/,0.0004961490631103516
0.17063426971435547/0.09808624535799026/0.7312794923782349/,0.17063426971435547/0.09808624535799026/0.7312794923782349/,1.0,2/,0.0008358955383300781
