Cost,Prob,Real_Goal,Results,Time
0.49161484837532043/0.08830318599939346/0.4200819730758667/,0.49161484837532043/0.08830318599939346/0.4200819730758667/,0.0,0/,0.0003452301025390625
0.8906406760215759/0.0665772333741188/0.04278206452727318/,0.8906406760215759/0.0665772333741188/0.04278206452727318/,0.0,0/,0.0005528926849365234
0.8338186144828796/0.12006386369466782/0.04611755907535553/,0.8338186144828796/0.12006386369466782/0.04611755907535553/,0.0,0/,0.0004839897155761719
0.8563632965087891/0.1137697845697403/0.02986694686114788/,0.8563632965087891/0.1137697845697403/0.02986694686114788/,0.0,0/,0.0005991458892822266
0.8320737481117249/0.09743112325668335/0.07049520313739777/,0.8320737481117249/0.09743112325668335/0.07049520313739777/,0.0,0/,0.0005896091461181641
0.22237884998321533/0.17915575206279755/0.5984654426574707/,0.22237884998321533/0.17915575206279755/0.5984654426574707/,1.0,2/,0.0003941059112548828
0.41387009620666504/0.09579311311244965/0.4903368353843689/,0.41387009620666504/0.09579311311244965/0.4903368353843689/,1.0,2/,0.00045299530029296875
0.8623608350753784/0.0774405375123024/0.060198694467544556/,0.8623608350753784/0.0774405375123024/0.060198694467544556/,1.0,0/,0.0005121231079101562
0.7305147647857666/0.21887429058551788/0.05061083287000656/,0.7305147647857666/0.21887429058551788/0.05061083287000656/,1.0,0/,0.0005619525909423828
0.3459976017475128/0.4534939229488373/0.2005084753036499/,0.3459976017475128/0.4534939229488373/0.2005084753036499/,1.0,1/,0.00066375732421875
0.19482742249965668/0.0896906852722168/0.7154818773269653/,0.19482742249965668/0.0896906852722168/0.7154818773269653/,2.0,2/,0.0003941059112548828
0.4014813303947449/0.06564967334270477/0.5328689813613892/,0.4014813303947449/0.06564967334270477/0.5328689813613892/,2.0,2/,0.00046706199645996094
0.7693792581558228/0.14861534535884857/0.08200544118881226/,0.7693792581558228/0.14861534535884857/0.08200544118881226/,2.0,0/,0.0005528926849365234
0.10815654695034027/0.3599213659763336/0.5319221615791321/,0.10815654695034027/0.3599213659763336/0.5319221615791321/,2.0,2/,0.0006952285766601562
0.03159299120306969/0.07457442581653595/0.8938325643539429/,0.03159299120306969/0.07457442581653595/0.8938325643539429/,2.0,2/,0.0010380744934082031
0.32580554485321045/0.3375963568687439/0.3365980386734009/,0.32580554485321045/0.3375963568687439/0.3365980386734009/,0.0,1/,0.000598907470703125
0.20888425409793854/0.3317304253578186/0.45938530564308167/,0.20888425409793854/0.3317304253578186/0.45938530564308167/,0.0,2/,0.0009870529174804688
0.817581057548523/0.1566019207239151/0.025817081332206726/,0.817581057548523/0.1566019207239151/0.025817081332206726/,0.0,0/,0.000782012939453125
0.6795917749404907/0.29956111311912537/0.020847104489803314/,0.6795917749404907/0.29956111311912537/0.020847104489803314/,0.0,0/,0.0009961128234863281
0.8688661456108093/0.12184584140777588/0.009288016706705093/,0.8688661456108093/0.12184584140777588/0.009288016706705093/,0.0,0/,0.0012798309326171875
0.24920976161956787/0.3740675449371338/0.37672269344329834/,0.24920976161956787/0.3740675449371338/0.37672269344329834/,1.0,2/,0.0008161067962646484
0.8273465633392334/0.12079883366823196/0.051854655146598816/,0.8273465633392334/0.12079883366823196/0.051854655146598816/,1.0,0/,0.0007009506225585938
0.7906038165092468/0.17101675271987915/0.03837941586971283/,0.7906038165092468/0.17101675271987915/0.03837941586971283/,1.0,0/,0.0006930828094482422
0.6836294531822205/0.2845071852207184/0.03186342865228653/,0.6836294531822205/0.2845071852207184/0.03186342865228653/,1.0,0/,0.001177072525024414
0.7582258582115173/0.22195179760456085/0.019822396337985992/,0.7582258582115173/0.22195179760456085/0.019822396337985992/,1.0,0/,0.0011641979217529297
0.38972964882850647/0.25285524129867554/0.3574150800704956/,0.38972964882850647/0.25285524129867554/0.3574150800704956/,2.0,0/,0.0006940364837646484
0.6358440518379211/0.2109864056110382/0.15316952764987946/,0.6358440518379211/0.2109864056110382/0.15316952764987946/,2.0,0/,0.0006999969482421875
0.8039221167564392/0.12161722034215927/0.07446069270372391/,0.8039221167564392/0.12161722034215927/0.07446069270372391/,2.0,0/,0.0007219314575195312
