Cost,Prob,Real_Goal,Results,Time
0.5470985770225525/0.34384390711784363/0.1090574786067009/,0.5470985770225525/0.34384390711784363/0.1090574786067009/,0.0,0/,0.00036215782165527344
0.19998034834861755/0.6671023964881897/0.13291721045970917/,0.19998034834861755/0.6671023964881897/0.13291721045970917/,0.0,1/,0.0005269050598144531
0.3252580463886261/0.6277271509170532/0.0470147430896759/,0.3252580463886261/0.6277271509170532/0.0470147430896759/,0.0,1/,0.0005507469177246094
0.9157289266586304/0.08169130980968475/0.002579724183306098/,0.9157289266586304/0.08169130980968475/0.002579724183306098/,0.0,0/,0.0006997585296630859
0.9798091053962708/0.019506439566612244/0.0006844756426289678/,0.9798091053962708/0.019506439566612244/0.0006844756426289678/,0.0,0/,0.000782012939453125
0.41754812002182007/0.15691345930099487/0.42553842067718506/,0.41754812002182007/0.15691345930099487/0.42553842067718506/,1.0,2/,0.0007228851318359375
0.28909093141555786/0.6104092001914978/0.1004999577999115/,0.28909093141555786/0.6104092001914978/0.1004999577999115/,1.0,1/,0.0004899501800537109
0.1423809975385666/0.6958150863647461/0.16180391609668732/,0.1423809975385666/0.6958150863647461/0.16180391609668732/,1.0,1/,0.0005078315734863281
0.44880443811416626/0.44515344500541687/0.10604215413331985/,0.44880443811416626/0.44515344500541687/0.10604215413331985/,1.0,0/,0.0005650520324707031
0.6169118285179138/0.3613615334033966/0.02172662690281868/,0.6169118285179138/0.3613615334033966/0.02172662690281868/,1.0,0/,0.0007710456848144531
0.4070408344268799/0.06434126943349838/0.5286178588867188/,0.4070408344268799/0.06434126943349838/0.5286178588867188/,2.0,2/,0.0006530284881591797
0.3911589980125427/0.16360323131084442/0.44523775577545166/,0.3911589980125427/0.16360323131084442/0.44523775577545166/,2.0,2/,0.0005819797515869141
0.14678068459033966/0.5457248687744141/0.3074944019317627/,0.14678068459033966/0.5457248687744141/0.3074944019317627/,2.0,1/,0.000637054443359375
0.2577260136604309/0.6737611889839172/0.06851282715797424/,0.2577260136604309/0.6737611889839172/0.06851282715797424/,2.0,1/,0.0013759136199951172
0.7682292461395264/0.21736639738082886/0.014404332265257835/,0.7682292461395264/0.21736639738082886/0.014404332265257835/,2.0,0/,0.0009028911590576172
0.5345130562782288/0.38510310649871826/0.0803837776184082/,0.5345130562782288/0.38510310649871826/0.0803837776184082/,0.0,0/,0.0004398822784423828
0.6614395380020142/0.19714291393756866/0.1414175182580948/,0.6614395380020142/0.19714291393756866/0.1414175182580948/,0.0,0/,0.0005230903625488281
0.3858391046524048/0.3688422441482544/0.24531862139701843/,0.3858391046524048/0.3688422441482544/0.24531862139701843/,0.0,0/,0.0005152225494384766
0.2267717868089676/0.6902428269386292/0.08298537135124207/,0.2267717868089676/0.6902428269386292/0.08298537135124207/,0.0,1/,0.0006420612335205078
0.9224913716316223/0.07315730303525925/0.004351265728473663/,0.9224913716316223/0.07315730303525925/0.004351265728473663/,0.0,0/,0.0007090568542480469
0.06250359863042831/0.17469656467437744/0.7627997994422913/,0.06250359863042831/0.17469656467437744/0.7627997994422913/,1.0,2/,0.0004169940948486328
0.07639113813638687/0.2430919110774994/0.6805169582366943/,0.07639113813638687/0.2430919110774994/0.6805169582366943/,1.0,2/,0.0006940364837646484
0.07868646085262299/0.2625141441822052/0.658799409866333/,0.07868646085262299/0.2625141441822052/0.658799409866333/,1.0,2/,0.0008561611175537109
0.41488388180732727/0.5140942335128784/0.07102186977863312/,0.41488388180732727/0.5140942335128784/0.07102186977863312/,1.0,1/,0.0010650157928466797
0.2004069685935974/0.6302101016044617/0.16938288509845734/,0.2004069685935974/0.6302101016044617/0.16938288509845734/,1.0,1/,0.0013318061828613281
0.14306259155273438/0.1738681048154831/0.6830692887306213/,0.14306259155273438/0.1738681048154831/0.6830692887306213/,2.0,2/,0.0004680156707763672
0.6972103714942932/0.17532382905483246/0.12746578454971313/,0.6972103714942932/0.17532382905483246/0.12746578454971313/,2.0,0/,0.0006139278411865234
0.6102568507194519/0.2715454399585724/0.1181977391242981/,0.6102568507194519/0.2715454399585724/0.1181977391242981/,2.0,0/,0.0007131099700927734
0.6520994901657104/0.1860971599817276/0.16180329024791718/,0.6520994901657104/0.1860971599817276/0.16180329024791718/,2.0,0/,0.0007829666137695312
0.5376617312431335/0.10896891355514526/0.3533693552017212/,0.5376617312431335/0.10896891355514526/0.3533693552017212/,2.0,0/,0.0009369850158691406
0.30953481793403625/0.49434345960617065/0.1961217224597931/,0.30953481793403625/0.49434345960617065/0.1961217224597931/,0.0,1/,0.00036597251892089844
0.14525377750396729/0.5018080472946167/0.35293814539909363/,0.14525377750396729/0.5018080472946167/0.35293814539909363/,0.0,1/,0.0004532337188720703
0.09880965203046799/0.41514238715171814/0.48604804277420044/,0.09880965203046799/0.41514238715171814/0.48604804277420044/,0.0,2/,0.0005409717559814453
0.4338292181491852/0.48224371671676636/0.08392704278230667/,0.4338292181491852/0.48224371671676636/0.08392704278230667/,0.0,1/,0.0005528926849365234
0.6388823986053467/0.32437723875045776/0.03674035891890526/,0.6388823986053467/0.32437723875045776/0.03674035891890526/,0.0,0/,0.0006651878356933594
0.2730882465839386/0.5172078013420105/0.2097039818763733/,0.2730882465839386/0.5172078013420105/0.2097039818763733/,1.0,1/,0.0008099079132080078
0.22543169558048248/0.4648642838001251/0.309704065322876/,0.22543169558048248/0.4648642838001251/0.309704065322876/,1.0,1/,0.000492095947265625
