Cost,Prob,Real_Goal,Results,Time
0.2976839244365692/0.37123700976371765/0.33107906579971313/,0.2976839244365692/0.37123700976371765/0.33107906579971313/,0.0,1/,0.0005161762237548828
0.2938891649246216/0.3432963192462921/0.3628145158290863/,0.2938891649246216/0.3432963192462921/0.3628145158290863/,0.0,2/,0.0008099079132080078
0.3050113618373871/0.3390201926231384/0.3559684157371521/,0.3050113618373871/0.3390201926231384/0.3559684157371521/,0.0,2/,0.0009429454803466797
0.3453908860683441/0.330625981092453/0.32398316264152527/,0.3453908860683441/0.330625981092453/0.32398316264152527/,0.0,0/,0.001096963882446289
0.40226835012435913/0.302815705537796/0.2949158847332001/,0.40226835012435913/0.302815705537796/0.2949158847332001/,0.0,0/,0.001703023910522461
0.3164511024951935/0.3485792577266693/0.33496958017349243/,0.3164511024951935/0.3485792577266693/0.33496958017349243/,1.0,1/,0.00048804283142089844
0.2957928776741028/0.3464096486568451/0.3577975332736969/,0.2957928776741028/0.3464096486568451/0.3577975332736969/,1.0,2/,0.0006320476531982422
0.30231568217277527/0.33416181802749634/0.3635224997997284/,0.30231568217277527/0.33416181802749634/0.3635224997997284/,1.0,2/,0.002550840377807617
0.3285737633705139/0.3181178569793701/0.3533083200454712/,0.3285737633705139/0.3181178569793701/0.3533083200454712/,1.0,2/,0.0011050701141357422
0.3843235671520233/0.2927546799182892/0.3229217529296875/,0.3843235671520233/0.2927546799182892/0.3229217529296875/,1.0,0/,0.0013358592987060547
0.32301124930381775/0.3428451418876648/0.33414357900619507/,0.32301124930381775/0.3428451418876648/0.33414357900619507/,2.0,1/,0.00044608116149902344
0.2959551513195038/0.3625856935977936/0.34145909547805786/,0.2959551513195038/0.3625856935977936/0.34145909547805786/,2.0,1/,0.0005691051483154297
0.28286975622177124/0.3613068163394928/0.3558233678340912/,0.28286975622177124/0.3613068163394928/0.3558233678340912/,2.0,1/,0.0008099079132080078
0.30465930700302124/0.34439873695373535/0.35094189643859863/,0.30465930700302124/0.34439873695373535/0.35094189643859863/,2.0,2/,0.0009150505065917969
0.34580665826797485/0.31258827447891235/0.3416050672531128/,0.34580665826797485/0.31258827447891235/0.3416050672531128/,2.0,0/,0.0011081695556640625
0.2879636287689209/0.34326356649398804/0.3687727749347687/,0.2879636287689209/0.34326356649398804/0.3687727749347687/,0.0,2/,0.0005042552947998047
0.2990332841873169/0.3292975425720215/0.371669203042984/,0.2990332841873169/0.3292975425720215/0.371669203042984/,0.0,2/,0.0008702278137207031
0.3066348433494568/0.32966113090515137/0.36370402574539185/,0.3066348433494568/0.32966113090515137/0.36370402574539185/,0.0,2/,0.0012319087982177734
0.3286404311656952/0.32890817523002625/0.3424513638019562/,0.3286404311656952/0.32890817523002625/0.3424513638019562/,0.0,2/,0.001499176025390625
0.35722875595092773/0.3294951915740967/0.3132760524749756/,0.35722875595092773/0.3294951915740967/0.3132760524749756/,0.0,0/,0.0020279884338378906
0.2891620397567749/0.3426567018032074/0.3681812584400177/,0.2891620397567749/0.3426567018032074/0.3681812584400177/,1.0,2/,0.0009379386901855469
0.3000185787677765/0.3276871144771576/0.37229424715042114/,0.3000185787677765/0.3276871144771576/0.37229424715042114/,1.0,2/,0.0009641647338867188
0.30989131331443787/0.3185937702655792/0.37151485681533813/,0.30989131331443787/0.3185937702655792/0.37151485681533813/,1.0,2/,0.0013570785522460938
