Cost,Prob,Real_Goal,Results,Time
0.26383453607559204/0.6084598898887634/0.12770560383796692/,0.26383453607559204/0.6084598898887634/0.12770560383796692/,0.0,1/,0.0004119873046875
0.6558781862258911/0.2508302927017212/0.0932915061712265/,0.6558781862258911/0.2508302927017212/0.0932915061712265/,0.0,0/,0.0006220340728759766
0.8867944478988647/0.07462931424379349/0.03857623040676117/,0.8867944478988647/0.07462931424379349/0.03857623040676117/,0.0,0/,0.0007421970367431641
0.7211881875991821/0.13866814970970154/0.14014370739459991/,0.7211881875991821/0.13866814970970154/0.14014370739459991/,0.0,0/,0.0009031295776367188
0.667505145072937/0.24066881835460663/0.09182602912187576/,0.667505145072937/0.24066881835460663/0.09182602912187576/,0.0,0/,0.0010497570037841797
0.07721129804849625/0.612356960773468/0.31043174862861633/,0.07721129804849625/0.612356960773468/0.31043174862861633/,1.0,1/,0.0004711151123046875
0.22953353822231293/0.6236850023269653/0.14678150415420532/,0.22953353822231293/0.6236850023269653/0.14678150415420532/,1.0,1/,0.0006351470947265625
0.6411710381507874/0.2762252986431122/0.08260364085435867/,0.6411710381507874/0.2762252986431122/0.08260364085435867/,1.0,0/,0.0007109642028808594
0.3104226291179657/0.3527180254459381/0.33685943484306335/,0.3104226291179657/0.3527180254459381/0.33685943484306335/,1.0,1/,0.0008149147033691406
0.23152638971805573/0.5959051251411438/0.17256847023963928/,0.23152638971805573/0.5959051251411438/0.17256847023963928/,1.0,1/,0.0009410381317138672
0.2845703959465027/0.5904529094696045/0.12497670203447342/,0.2845703959465027/0.5904529094696045/0.12497670203447342/,2.0,1/,0.00044918060302734375
0.33568432927131653/0.48269039392471313/0.18162530660629272/,0.33568432927131653/0.48269039392471313/0.18162530660629272/,2.0,1/,0.0005979537963867188
0.7206173539161682/0.24132931232452393/0.0380532406270504/,0.7206173539161682/0.24132931232452393/0.0380532406270504/,2.0,0/,0.0006890296936035156
0.1251724362373352/0.04730413109064102/0.827523410320282/,0.1251724362373352/0.04730413109064102/0.827523410320282/,2.0,2/,0.0008399486541748047
0.3079301416873932/0.3035069704055786/0.3885628879070282/,0.3079301416873932/0.3035069704055786/0.3885628879070282/,2.0,2/,0.0010638236999511719
0.10761262476444244/0.45043548941612244/0.4419518709182739/,0.10761262476444244/0.45043548941612244/0.4419518709182739/,0.0,1/,0.00036787986755371094
0.2057015597820282/0.5141987800598145/0.2800996005535126/,0.2057015597820282/0.5141987800598145/0.2800996005535126/,0.0,1/,0.0005102157592773438
0.32746025919914246/0.4934645891189575/0.17907516658306122/,0.32746025919914246/0.4934645891189575/0.17907516658306122/,0.0,1/,0.0006070137023925781
0.38929513096809387/0.25487184524536133/0.3558329939842224/,0.38929513096809387/0.25487184524536133/0.3558329939842224/,0.0,0/,0.0006220340728759766
0.2989617884159088/0.4755955636501312/0.22544258832931519/,0.2989617884159088/0.4755955636501312/0.22544258832931519/,0.0,1/,0.0006909370422363281
0.15510022640228271/0.5863931179046631/0.2585066258907318/,0.15510022640228271/0.5863931179046631/0.2585066258907318/,1.0,1/,0.0004417896270751953
0.4678760766983032/0.36618098616600037/0.1659429967403412/,0.4678760766983032/0.36618098616600037/0.1659429967403412/,1.0,0/,0.0006251335144042969
0.43550819158554077/0.482002854347229/0.08248896896839142/,0.43550819158554077/0.482002854347229/0.08248896896839142/,1.0,1/,0.001508951187133789
0.6603101491928101/0.268817275762558/0.07087252289056778/,0.6603101491928101/0.268817275762558/0.07087252289056778/,1.0,0/,0.0007011890411376953
0.19713322818279266/0.3062780499458313/0.4965887665748596/,0.19713322818279266/0.3062780499458313/0.4965887665748596/,1.0,2/,0.0007951259613037109
0.08860378712415695/0.5863744020462036/0.32502180337905884/,0.08860378712415695/0.5863744020462036/0.32502180337905884/,2.0,1/,0.0005140304565429688
0.11045870184898376/0.6112404465675354/0.2783008813858032/,0.11045870184898376/0.6112404465675354/0.2783008813858032/,2.0,1/,0.0005660057067871094
0.45230725407600403/0.3430798053741455/0.2046128809452057/,0.45230725407600403/0.3430798053741455/0.2046128809452057/,2.0,0/,0.0006520748138427734
0.017483584582805634/0.34759628772735596/0.6349201202392578/,0.017483584582805634/0.34759628772735596/0.6349201202392578/,2.0,2/,0.0007569789886474609
0.04049498587846756/0.3544985055923462/0.6050065159797668/,0.04049498587846756/0.3544985055923462/0.6050065159797668/,2.0,2/,0.0008428096771240234
0.10864505916833878/0.5270132422447205/0.36434173583984375/,0.10864505916833878/0.5270132422447205/0.36434173583984375/,0.0,1/,0.00039887428283691406
0.10583189874887466/0.7917388677597046/0.10242920368909836/,0.10583189874887466/0.7917388677597046/0.10242920368909836/,0.0,1/,0.0006659030914306641
0.14497524499893188/0.7281237244606018/0.12690100073814392/,0.14497524499893188/0.7281237244606018/0.12690100073814392/,0.0,1/,0.0009429454803466797
0.40469518303871155/0.4974691867828369/0.09783563017845154/,0.40469518303871155/0.4974691867828369/0.09783563017845154/,0.0,1/,0.0007350444793701172
0.7243430614471436/0.23941455781459808/0.036242444068193436/,0.7243430614471436/0.23941455781459808/0.036242444068193436/,0.0,0/,0.0008349418640136719
0.2500741183757782/0.4737118184566498/0.276214063167572/,0.2500741183757782/0.4737118184566498/0.276214063167572/,1.0,1/,0.000476837158203125
0.44713684916496277/0.45562493801116943/0.09723825752735138/,0.44713684916496277/0.45562493801116943/0.09723825752735138/,1.0,1/,0.0005669593811035156
