Real_Goal,Cost,Prob,Results
0,0.9369692458603808/0.011416242265008727/0.05161451187461042/,0.9369692458603808/0.011416242265008727/0.05161451187461042/,0/
0,0.9730075325932449/0.025132251376795478/0.0018602160299596967/,0.9730075325932449/0.025132251376795478/0.0018602160299596967/,0/
0,0.6969029688752393/0.3023260049556621/0.0007710261690986102/,0.6969029688752393/0.3023260049556621/0.0007710261690986102/,0/
0,0.5102598969530502/0.48960471397431116/0.00013538907263864654/,0.5102598969530502/0.48960471397431116/0.00013538907263864654/,0/
0,0.5707371189809631/0.4292599293338503/2.9516851865717687e-06/,0.5707371189809631/0.4292599293338503/2.9516851865717687e-06/,0/
0,0.16813935780990055/0.0027303736903620296/0.8291302684997375/,0.16813935780990055/0.0027303736903620296/0.8291302684997375/,2/
0,0.03648200903026826/0.0016693209930668126/0.961848669976665/,0.03648200903026826/0.0016693209930668126/0.961848669976665/,2/
0,0.9469617527250366/0.006708442005893912/0.046329805269069456/,0.9469617527250366/0.006708442005893912/0.046329805269069456/,0/
0,0.8988674570003793/0.03667226196651534/0.06446028103310535/,0.8988674570003793/0.03667226196651534/0.06446028103310535/,0/
0,0.6577749642940559/0.2939154435256369/0.048309592180307226/,0.6577749642940559/0.2939154435256369/0.048309592180307226/,0/
0,0.5611402367341208/0.0038001061128042734/0.43505965715307504/,0.5611402367341208/0.0038001061128042734/0.43505965715307504/,0/
0,0.9925254787351916/0.007436774967768499/3.774629703991955e-05/,0.9925254787351916/0.007436774967768499/3.774629703991955e-05/,0/
0,0.9257068421438884/0.052917208119041236/0.02137594973707037/,0.9257068421438884/0.052917208119041236/0.02137594973707037/,0/
0,0.5293561521328135/0.2365172842380862/0.2341265636291002/,0.5293561521328135/0.2365172842380862/0.2341265636291002/,0/
0,0.1821560566745493/0.7105335257183792/0.1073104176070714/,0.1821560566745493/0.7105335257183792/0.1073104176070714/,1/
0,0.6408767953509141/0.01024436449977959/0.34887884014930637/,0.6408767953509141/0.01024436449977959/0.34887884014930637/,0/
0,0.895000274982623/0.013816240547849674/0.0911834844695272/,0.895000274982623/0.013816240547849674/0.0911834844695272/,0/
0,0.8374011503188873/0.0470237534236892/0.11557509625742353/,0.8374011503188873/0.0470237534236892/0.11557509625742353/,0/
0,0.8243553685311147/0.06862836885828137/0.10701626261060404/,0.8243553685311147/0.06862836885828137/0.10701626261060404/,0/
0,0.7241935884645712/0.24777893123569564/0.028027480299733204/,0.7241935884645712/0.24777893123569564/0.028027480299733204/,0/
0,0.9375841750239067/0.004321083300472946/0.058094741675620454/,0.9375841750239067/0.004321083300472946/0.058094741675620454/,0/
0,0.9901157946513565/0.009666999356495861/0.00021720599214771727/,0.9901157946513565/0.009666999356495861/0.00021720599214771727/,0/
0,0.8765742054180522/0.0611281179612199/0.062297676620727896/,0.8765742054180522/0.0611281179612199/0.062297676620727896/,0/
0,0.6608298400018628/0.28931814346417073/0.04985201653396632/,0.6608298400018628/0.28931814346417073/0.04985201653396632/,0/
0,0.398155589471912/0.16664815910112518/0.4351962514269628/,0.398155589471912/0.16664815910112518/0.4351962514269628/,2/
0,0.5830570147525502/0.003956037051750702/0.41298694819569914/,0.5830570147525502/0.003956037051750702/0.41298694819569914/,0/
0,0.5228571514574395/0.008161054228521298/0.46898179431403925/,0.5228571514574395/0.008161054228521298/0.46898179431403925/,0/
0,0.8843644928166144/0.01136897104730984/0.10426653613607564/,0.8843644928166144/0.01136897104730984/0.10426653613607564/,0/
0,0.8765207553261503/0.08661130784860047/0.03686793682524926/,0.8765207553261503/0.08661130784860047/0.03686793682524926/,0/
0,0.969000635000923/0.029924150592241804/0.0010752144068352418/,0.969000635000923/0.029924150592241804/0.0010752144068352418/,0/
0,0.5688738565117274/0.005332887662129325/0.42579325582614325/,0.5688738565117274/0.005332887662129325/0.42579325582614325/,0/
0,0.9580949630190527/0.034701861197167574/0.007203175783779733/,0.9580949630190527/0.034701861197167574/0.007203175783779733/,0/
0,0.3759611003750897/0.08001684305479684/0.5440220565701136/,0.3759611003750897/0.08001684305479684/0.5440220565701136/,2/
0,0.7065730905942994/0.09931296601262513/0.19411394339307553/,0.7065730905942994/0.09931296601262513/0.19411394339307553/,0/
0,0.2420927043855242/0.1108382061394199/0.6470690894750559/,0.2420927043855242/0.1108382061394199/0.6470690894750559/,2/
0,0.8451549071254078/0.0490305965990995/0.10581449627549265/,0.8451549071254078/0.0490305965990995/0.10581449627549265/,0/
0,0.8535455390813063/0.10620125950239742/0.04025320141629628/,0.8535455390813063/0.10620125950239742/0.04025320141629628/,0/
0,0.805775153243379/0.13033790916187676/0.0638869375947444/,0.805775153243379/0.13033790916187676/0.0638869375947444/,0/
0,0.6493793811523314/0.08194863721202586/0.2686719816356427/,0.6493793811523314/0.08194863721202586/0.2686719816356427/,0/
0,0.799688849666453/0.18294969588374524/0.017361454449801715/,0.799688849666453/0.18294969588374524/0.017361454449801715/,0/
0,0.9747067634122236/0.008829317327442871/0.01646391926033341/,0.9747067634122236/0.008829317327442871/0.01646391926033341/,0/
0,0.9064391016196278/0.07134929656452156/0.022211601815850666/,0.9064391016196278/0.07134929656452156/0.022211601815850666/,0/
0,0.6877490198384408/0.15915122884111713/0.1530997513204421/,0.6877490198384408/0.15915122884111713/0.1530997513204421/,0/
0,0.9336407338532885/0.045966913578152704/0.020392352568559032/,0.9336407338532885/0.045966913578152704/0.020392352568559032/,0/
0,0.9725394067323957/0.027285873523352343/0.00017471974425179197/,0.9725394067323957/0.027285873523352343/0.00017471974425179197/,0/
0,0.5200546121534675/0.008331118569964546/0.4716142692765681/,0.5200546121534675/0.008331118569964546/0.4716142692765681/,0/
0,0.8499615506298602/0.008968830751596464/0.14106961861854322/,0.8499615506298602/0.008968830751596464/0.14106961861854322/,0/
0,0.8935836659843323/0.027896382832921517/0.07851995118274614/,0.8935836659843323/0.027896382832921517/0.07851995118274614/,0/
0,0.8251651577489582/0.10998557887502862/0.06484926337601318/,0.8251651577489582/0.10998557887502862/0.06484926337601318/,0/
0,0.5937760616425584/0.2525449585081421/0.1536789798492996/,0.5937760616425584/0.2525449585081421/0.1536789798492996/,0/
0,0.9470840032847849/0.020583664045020603/0.032332332670194516/,0.9470840032847849/0.020583664045020603/0.032332332670194516/,0/
0,0.8343123810673535/0.1176216809506858/0.04806593798196056/,0.8343123810673535/0.1176216809506858/0.04806593798196056/,0/
0,0.2557111220246885/0.5159328419238487/0.22835603605146282/,0.2557111220246885/0.5159328419238487/0.22835603605146282/,1/
0,0.026054412573094772/0.07234408258140762/0.9016015048454975/,0.026054412573094772/0.07234408258140762/0.9016015048454975/,2/
0,0.08942282720347974/0.3271151117606981/0.5834620610358221/,0.08942282720347974/0.3271151117606981/0.5834620610358221/,2/
0,0.9574305488543104/0.013435734509995436/0.029133716635694158/,0.9574305488543104/0.013435734509995436/0.029133716635694158/,0/
0,0.8819383267945887/0.0449963343203674/0.07306533888504382/,0.8819383267945887/0.0449963343203674/0.07306533888504382/,0/
0,0.289229037967267/0.16717713084729563/0.5435938311854374/,0.289229037967267/0.16717713084729563/0.5435938311854374/,2/
0,0.09925208351282466/0.014221361960888886/0.8865265545262865/,0.09925208351282466/0.014221361960888886/0.8865265545262865/,2/
0,0.5817021509042436/0.38608387491129104/0.03221397418446528/,0.5817021509042436/0.38608387491129104/0.03221397418446528/,0/
0,0.9493418267558843/0.036735450155759845/0.013922723088355678/,0.9493418267558843/0.036735450155759845/0.013922723088355678/,0/
0,0.9419986322853511/0.03624772517694946/0.021753642537699545/,0.9419986322853511/0.03624772517694946/0.021753642537699545/,0/
0,0.5550218376118534/0.08666714314033779/0.35831101924780884/,0.5550218376118534/0.08666714314033779/0.35831101924780884/,0/
0,0.6324016944445557/0.09633731808958258/0.27126098746586175/,0.6324016944445557/0.09633731808958258/0.27126098746586175/,0/
0,0.8213183654671214/0.15795123659579952/0.020730397937079006/,0.8213183654671214/0.15795123659579952/0.020730397937079006/,0/
0,0.6798180303527334/0.0032058638954799617/0.3169761057517867/,0.6798180303527334/0.0032058638954799617/0.3169761057517867/,0/
0,0.9669990731781636/0.01623781673303877/0.016763110088797595/,0.9669990731781636/0.01623781673303877/0.016763110088797595/,0/
0,0.9557441752568756/0.04410399624566581/0.00015182849745845698/,0.9557441752568756/0.04410399624566581/0.00015182849745845698/,0/
0,0.6615459603508956/0.3217707187917717/0.016683320857332474/,0.6615459603508956/0.3217707187917717/0.016683320857332474/,0/
0,0.45945746421877803/0.5190239534061939/0.021518582375028045/,0.45945746421877803/0.5190239534061939/0.021518582375028045/,1/
0,0.9859604488051946/0.009598141585170477/0.004441409609635023/,0.9859604488051946/0.009598141585170477/0.004441409609635023/,0/
0,0.955058054973035/0.03442214586658392/0.010519799160381142/,0.955058054973035/0.03442214586658392/0.010519799160381142/,0/
0,0.9368193767098751/0.06264637605933238/0.000534247230792564/,0.9368193767098751/0.06264637605933238/0.000534247230792564/,0/
0,0.4978005730873569/0.1618541948244195/0.3403452320882236/,0.4978005730873569/0.1618541948244195/0.3403452320882236/,0/
0,0.808713830774038/0.17672269211508929/0.014563477110872745/,0.808713830774038/0.17672269211508929/0.014563477110872745/,0/
0,0.899042901021523/0.014668916093077479/0.08628818288539952/,0.899042901021523/0.014668916093077479/0.08628818288539952/,0/
0,0.9933527241786443/0.0064216991252282465/0.00022557669612739906/,0.9933527241786443/0.0064216991252282465/0.00022557669612739906/,0/
0,0.7469510105403396/0.16134153119828382/0.09170745826137656/,0.7469510105403396/0.16134153119828382/0.09170745826137656/,0/
0,0.29069629594151947/0.41492998230955364/0.29437372174892695/,0.29069629594151947/0.41492998230955364/0.29437372174892695/,1/
0,0.6413929667958973/0.35718307186957376/0.0014239613345288795/,0.6413929667958973/0.35718307186957376/0.0014239613345288795/,0/
0,0.7589266643324808/0.009353397305424655/0.2317199383620945/,0.7589266643324808/0.009353397305424655/0.2317199383620945/,0/
0,0.9855658043905795/0.013960140250481005/0.0004740553589394898/,0.9855658043905795/0.013960140250481005/0.0004740553589394898/,0/
0,0.9766081013392109/0.023378908188641263/1.2990472147842446e-05/,0.9766081013392109/0.023378908188641263/1.2990472147842446e-05/,0/
0,0.9000863327014961/0.09728196963835295/0.002631697660151011/,0.9000863327014961/0.09728196963835295/0.002631697660151011/,0/
0,0.8122172256186141/0.18724148011469344/0.0005412942666924912/,0.8122172256186141/0.18724148011469344/0.0005412942666924912/,0/
0,0.9836223976358422/0.013243080473492243/0.003134521890665571/,0.9836223976358422/0.013243080473492243/0.003134521890665571/,0/
0,0.9813665962692867/0.018400955655636146/0.00023244807507722648/,0.9813665962692867/0.018400955655636146/0.00023244807507722648/,0/
0,0.9380075157176286/0.042192863124996836/0.019799621157374454/,0.9380075157176286/0.042192863124996836/0.019799621157374454/,0/
0,0.05702575394822294/0.014797770310531587/0.9281764757412455/,0.05702575394822294/0.014797770310531587/0.9281764757412455/,2/
0,0.8084646958232626/0.1914614089001733/7.38952765640274e-05/,0.8084646958232626/0.1914614089001733/7.38952765640274e-05/,0/
0,0.9836635228100059/0.012401763046135111/0.003934714143859009/,0.9836635228100059/0.012401763046135111/0.003934714143859009/,0/
0,0.9511777645806997/0.019135118067132476/0.029687117352167846/,0.9511777645806997/0.019135118067132476/0.029687117352167846/,0/
0,0.9504938144966345/0.04182120941311089/0.007684976090254682/,0.9504938144966345/0.04182120941311089/0.007684976090254682/,0/
0,0.6576274315943913/0.0822172085947487/0.2601553598108601/,0.6576274315943913/0.0822172085947487/0.2601553598108601/,0/
