Real_Goal,Cost,Prob,Results
0,0.0005051607720460398/0.5110748366521157/0.4884200025758382/,0.0005051607720460398/0.5110748366521157/0.4884200025758382/,1/
0,0.0010353283584934145/0.06616004348995662/0.9328046281515501/,0.0010353283584934145/0.06616004348995662/0.9328046281515501/,2/
0,4.624621057704435e-06/0.003433882430280482/0.9965614929486619/,4.624621057704435e-06/0.003433882430280482/0.9965614929486619/,2/
0,0.12483478630681506/0.51265088615272/0.3625143275404648/,0.12483478630681506/0.51265088615272/0.3625143275404648/,1/
0,0.5235691770044199/0.4182567760467011/0.05817404694887918/,0.5235691770044199/0.4182567760467011/0.05817404694887918/,0/
0,0.22416609610009033/0.7444956126898328/0.031338291210076814/,0.22416609610009033/0.7444956126898328/0.031338291210076814/,1/
0,0.997208972431653/0.0027864292269666993/4.598341380375014e-06/,0.997208972431653/0.0027864292269666993/4.598341380375014e-06/,0/
0,3.250067393162454e-05/0.004459569192392567/0.9955079301336758/,3.250067393162454e-05/0.004459569192392567/0.9955079301336758/,2/
0,0.0012681217816867868/0.155811824693886/0.8429200535244272/,0.0012681217816867868/0.155811824693886/0.8429200535244272/,2/
0,0.9012581265537954/0.09834831399908037/0.00039355944712401135/,0.9012581265537954/0.09834831399908037/0.00039355944712401135/,0/
0,0.9998128160567151/0.00018718365169837829/2.9158650431997054e-10/,0.9998128160567151/0.00018718365169837829/2.9158650431997054e-10/,0/
0,0.5903886497136438/0.2176889995668962/0.19192235071945993/,0.5903886497136438/0.2176889995668962/0.19192235071945993/,0/
0,0.0003249094619914635/0.009866870752558356/0.9898082197854503/,0.0003249094619914635/0.009866870752558356/0.9898082197854503/,2/
0,0.016991214608504144/0.5237882607953467/0.4592205245961492/,0.016991214608504144/0.5237882607953467/0.4592205245961492/,1/
0,0.7043964703841207/0.2885294866718833/0.0070740429439961495/,0.7043964703841207/0.2885294866718833/0.0070740429439961495/,0/
0,0.9992383510413039/0.0007616308137582712/1.8144937895703998e-08/,0.9992383510413039/0.0007616308137582712/1.8144937895703998e-08/,0/
0,0.9999170606964932/8.293887132804498e-05/4.3217871016506373e-10/,0.9999170606964932/8.293887132804498e-05/4.3217871016506373e-10/,0/
0,0.9998060929216115/0.00019388756498096838/1.951340764239102e-08/,0.9998060929216115/0.00019388756498096838/1.951340764239102e-08/,0/
0,0.035763854082159346/0.6307901559924062/0.3334459899254345/,0.035763854082159346/0.6307901559924062/0.3334459899254345/,1/
