Real_Goal,Cost,Prob,Results
0,0.9999996079002388/3.7669344403408177e-07/1.5406317337099033e-08/,0.9999996079002388/3.7669344403408177e-07/1.5406317337099033e-08/,0/
0,0.9999063525325773/6.77837150101091e-05/2.5863752412573746e-05/,0.9999063525325773/6.77837150101091e-05/2.5863752412573746e-05/,0/
0,0.7981901233821704/0.06415648227341718/0.1376533943444124/,0.7981901233821704/0.06415648227341718/0.1376533943444124/,0/
0,0.9999352849147989/6.471233498739337e-05/2.750213657016953e-09/,0.9999352849147989/6.471233498739337e-05/2.750213657016953e-09/,0/
0,0.9986967894125894/0.001303167977373743/4.26100369538972e-08/,0.9986967894125894/0.001303167977373743/4.26100369538972e-08/,0/
0,0.1315413803990659/0.604180070055008/0.2642785495459261/,0.1315413803990659/0.604180070055008/0.2642785495459261/,1/
0,0.38832089483308413/0.5023688728219045/0.1093102323450114/,0.38832089483308413/0.5023688728219045/0.1093102323450114/,1/
0,0.7606279428944038/0.06324514176929587/0.17612691533630026/,0.7606279428944038/0.06324514176929587/0.17612691533630026/,0/
0,0.07949010755009264/0.802129723227696/0.11838016922221123/,0.07949010755009264/0.802129723227696/0.11838016922221123/,1/
0,0.7724092059216278/0.2268887894166342/0.0007020046617380145/,0.7724092059216278/0.2268887894166342/0.0007020046617380145/,0/
0,0.9905707944943023/0.008462917688373409/0.000966287817324293/,0.9905707944943023/0.008462917688373409/0.000966287817324293/,0/
0,0.9999439276348563/4.7552753614819544e-05/8.519611528826365e-06/,0.9999439276348563/4.7552753614819544e-05/8.519611528826365e-06/,0/
0,0.7573383621038492/0.23336169476944815/0.009299943126702617/,0.7573383621038492/0.23336169476944815/0.009299943126702617/,0/
0,0.9999981892209824/1.810741320098141e-06/3.7697626222745944e-11/,0.9999981892209824/1.810741320098141e-06/3.7697626222745944e-11/,0/
0,0.9999985006274877/1.49937193828599e-06/5.73982888279683e-13/,0.9999985006274877/1.49937193828599e-06/5.73982888279683e-13/,0/
0,0.9996983936964828/0.00020683525077862713/9.477105273840818e-05/,0.9996983936964828/0.00020683525077862713/9.477105273840818e-05/,0/
0,0.9998225254339623/0.0001766892643086304/7.853017289804173e-07/,0.9998225254339623/0.0001766892643086304/7.853017289804173e-07/,0/
0,0.9999224595021553/7.738573393539375e-05/1.5476390934463884e-07/,0.9999224595021553/7.738573393539375e-05/1.5476390934463884e-07/,0/
0,0.9999016183019176/9.83761946646373e-05/5.5034177511096956e-09/,0.9999016183019176/9.83761946646373e-05/5.5034177511096956e-09/,0/
0,0.9997240076138427/0.0002759922116844842/1.7447259766541044e-10/,0.9997240076138427/0.0002759922116844842/1.7447259766541044e-10/,0/
0,0.0562654559401814/0.31942805979032657/0.6243064842694921/,0.0562654559401814/0.31942805979032657/0.6243064842694921/,2/
0,0.9811723332550459/0.008334556118992897/0.01049311062596108/,0.9811723332550459/0.008334556118992897/0.01049311062596108/,0/
0,0.011348882566005521/0.1481591190451603/0.8404919983888341/,0.011348882566005521/0.1481591190451603/0.8404919983888341/,2/
0,0.18012881191208346/0.8183793760318823/0.001491812056034232/,0.18012881191208346/0.8183793760318823/0.001491812056034232/,1/
0,0.42746580208314744/0.5714246997567497/0.0011094981601028327/,0.42746580208314744/0.5714246997567497/0.0011094981601028327/,1/
0,0.8290614849897349/0.16506527003852586/0.005873244971739372/,0.8290614849897349/0.16506527003852586/0.005873244971739372/,0/
0,0.9210208360162965/0.0759134989267307/0.003065665056972639/,0.9210208360162965/0.0759134989267307/0.003065665056972639/,0/
0,0.9351458891570258/0.06349044406264304/0.001363666780331245/,0.9351458891570258/0.06349044406264304/0.001363666780331245/,0/
0,0.5987696515931318/0.40087511706385615/0.0003552313430121593/,0.5987696515931318/0.40087511706385615/0.0003552313430121593/,0/
0,0.2575259752930768/0.7421959901070748/0.0002780345998483595/,0.2575259752930768/0.7421959901070748/0.0002780345998483595/,1/
0,0.06108315420412418/0.9067625121292988/0.03215433366657692/,0.06108315420412418/0.9067625121292988/0.03215433366657692/,1/
0,0.9944820489143713/0.005435096680568964/8.285440505985929e-05/,0.9944820489143713/0.005435096680568964/8.285440505985929e-05/,0/
0,0.586668478427312/0.39829749619454397/0.015034025378144104/,0.586668478427312/0.39829749619454397/0.015034025378144104/,0/
0,0.5090112063355279/0.49077560352523386/0.0002131901392382663/,0.5090112063355279/0.49077560352523386/0.0002131901392382663/,0/
0,0.08209152765617468/0.9101415577840137/0.007766914559811495/,0.08209152765617468/0.9101415577840137/0.007766914559811495/,1/
0,0.6593711683329548/0.34057192114075613/5.6910526289171486e-05/,0.6593711683329548/0.34057192114075613/5.6910526289171486e-05/,0/
0,0.9974054747985024/0.0025932191582291506/1.306043268561971e-06/,0.9974054747985024/0.0025932191582291506/1.306043268561971e-06/,0/
0,0.9901840532869726/0.009809971355059356/5.975357968141593e-06/,0.9901840532869726/0.009809971355059356/5.975357968141593e-06/,0/
0,0.9996609888495561/0.0003358878393569544/3.123311086905043e-06/,0.9996609888495561/0.0003358878393569544/3.123311086905043e-06/,0/
0,0.9740869909856611/0.025907391539618674/5.617474720153404e-06/,0.9740869909856611/0.025907391539618674/5.617474720153404e-06/,0/
0,0.9973511045038526/0.0026241974430237353/2.4698053123851282e-05/,0.9973511045038526/0.0026241974430237353/2.4698053123851282e-05/,0/
0,0.9996024682636637/0.0003898930701594353/7.638666176905439e-06/,0.9996024682636637/0.0003898930701594353/7.638666176905439e-06/,0/
0,0.520800694538629/0.3771106163789928/0.10208868908237818/,0.520800694538629/0.3771106163789928/0.10208868908237818/,0/
0,0.5640213195682895/0.4355924311419386/0.00038624928977195835/,0.5640213195682895/0.4355924311419386/0.00038624928977195835/,0/
0,0.016494447711904163/0.9768617063848535/0.006643845903242309/,0.016494447711904163/0.9768617063848535/0.006643845903242309/,1/
0,0.9610261413634859/0.03896669867056869/7.15996594531668e-06/,0.9610261413634859/0.03896669867056869/7.15996594531668e-06/,0/
0,0.9999989879294768/1.002053044884114e-06/1.0017478302052594e-08/,0.9999989879294768/1.002053044884114e-06/1.0017478302052594e-08/,0/
0,0.9999762779965199/2.172700440271794e-05/1.994999077360342e-06/,0.9999762779965199/2.172700440271794e-05/1.994999077360342e-06/,0/
0,0.9147647647305368/0.07808887732548898/0.00714635794397409/,0.9147647647305368/0.07808887732548898/0.00714635794397409/,0/
0,0.9997393467323936/0.0002605919188725477/6.134873393580915e-08/,0.9997393467323936/0.0002605919188725477/6.134873393580915e-08/,0/
0,0.972478641197319/0.02570584074166412/0.0018155180610168837/,0.972478641197319/0.02570584074166412/0.0018155180610168837/,0/
0,0.4420969693893086/0.492732488495707/0.06517054211498456/,0.4420969693893086/0.492732488495707/0.06517054211498456/,1/
0,0.5335838264803492/0.46128946057145204/0.005126712948198604/,0.5335838264803492/0.46128946057145204/0.005126712948198604/,0/
0,0.9442866796223125/0.05571063246585966/2.6879118278475475e-06/,0.9442866796223125/0.05571063246585966/2.6879118278475475e-06/,0/
0,0.9999662196343018/3.378034917602379e-05/1.6522227170494456e-11/,0.9999662196343018/3.378034917602379e-05/1.6522227170494456e-11/,0/
0,0.99549239257472/0.00448740021346092/2.020721181914814e-05/,0.99549239257472/0.00448740021346092/2.020721181914814e-05/,0/
