Real_Goal,Cost,Prob,Results
0,0.9999985898866044/1.1601176154948633e-06/2.4999578024357023e-07/,0.9999985898866044/1.1601176154948633e-06/2.4999578024357023e-07/,0/
0,0.9964093460370016/0.0033384166170021584/0.0002522373459961579/,0.9964093460370016/0.0033384166170021584/0.0002522373459961579/,0/
0,0.5403402444747819/0.45034019416312876/0.009319561362089274/,0.5403402444747819/0.45034019416312876/0.009319561362089274/,0/
0,0.9999134302812265/8.65691251338295e-05/5.93639727842201e-10/,0.9999134302812265/8.65691251338295e-05/5.93639727842201e-10/,0/
0,0.9997525745851629/0.0002474212741226095/4.1407146871839114e-09/,0.9997525745851629/0.0002474212741226095/4.1407146871839114e-09/,0/
0,0.002178662078504296/0.07965905115096442/0.9181622867705312/,0.002178662078504296/0.07965905115096442/0.9181622867705312/,2/
0,0.14066338488260524/0.6314009957433888/0.22793561937400594/,0.14066338488260524/0.6314009957433888/0.22793561937400594/,1/
0,0.19683020160137382/0.2697205088440152/0.533449289554611/,0.19683020160137382/0.2697205088440152/0.533449289554611/,2/
0,0.07513118093139974/0.8985198511633075/0.026348967905292765/,0.07513118093139974/0.8985198511633075/0.026348967905292765/,1/
0,0.7407153093457934/0.25391665026259114/0.005368040391615335/,0.7407153093457934/0.25391665026259114/0.005368040391615335/,0/
0,0.968818466187363/0.027446758942894504/0.0037347748697424896/,0.968818466187363/0.027446758942894504/0.0037347748697424896/,0/
0,0.999661557982067/0.00033412195160343586/4.320066329486971e-06/,0.999661557982067/0.00033412195160343586/4.320066329486971e-06/,0/
0,0.19740308835952314/0.7358037140244579/0.06679319761601905/,0.19740308835952314/0.7358037140244579/0.06679319761601905/,1/
0,0.9999985960945906/1.403889557321277e-06/1.585200667123125e-11/,0.9999985960945906/1.403889557321277e-06/1.585200667123125e-11/,0/
0,0.9999969603641296/3.039634156659218e-06/1.7137557850595065e-12/,0.9999969603641296/3.039634156659218e-06/1.7137557850595065e-12/,0/
0,0.9969985416136529/0.002017900767790812/0.0009835576185564677/,0.9969985416136529/0.002017900767790812/0.0009835576185564677/,0/
0,0.9924900922246259/0.007439571543933316/7.033623144085236e-05/,0.9924900922246259/0.007439571543933316/7.033623144085236e-05/,0/
0,0.9980356011506043/0.001961138735515212/3.2601138803702854e-06/,0.9980356011506043/0.001961138735515212/3.2601138803702854e-06/,0/
0,0.9997042543294581/0.00029571423789875217/3.143264312751937e-08/,0.9997042543294581/0.00029571423789875217/3.143264312751937e-08/,0/
0,0.9969279160252964/0.0030720726743052275/1.130039842068194e-08/,0.9969279160252964/0.0030720726743052275/1.130039842068194e-08/,0/
0,0.05017453798042758/0.4554619513498917/0.49436351066968065/,0.05017453798042758/0.4554619513498917/0.49436351066968065/,2/
