Real_Goal,Cost,Prob,Results
0,0.9971341522659836/0.002865831269723998/1.646429260070792e-08/,0.9971341522659836/0.002865831269723998/1.646429260070792e-08/,0/
0,0.9963927733963619/0.003607172523037271/5.4080600836029994e-08/,0.9963927733963619/0.003607172523037271/5.4080600836029994e-08/,0/
0,0.9918769701646893/0.007870906975167038/0.0002521228601436196/,0.9918769701646893/0.007870906975167038/0.0002521228601436196/,0/
0,0.23104072416989072/0.34115820016662457/0.42780107566348474/,0.23104072416989072/0.34115820016662457/0.42780107566348474/,2/
0,0.7645640090140308/0.10852286145801182/0.12691312952795736/,0.7645640090140308/0.10852286145801182/0.12691312952795736/,0/
0,0.7510060342480699/0.24894207178443056/5.189396749960188e-05/,0.7510060342480699/0.24894207178443056/5.189396749960188e-05/,0/
0,0.9985476547700354/0.0014522486660211277/9.656394341768757e-08/,0.9985476547700354/0.0014522486660211277/9.656394341768757e-08/,0/
0,0.9991991359376048/0.0007988529639062985/2.0110984890315685e-06/,0.9991991359376048/0.0007988529639062985/2.0110984890315685e-06/,0/
0,0.9992210932882356/0.0007787961355610183/1.1057620342922192e-07/,0.9992210932882356/0.0007787961355610183/1.1057620342922192e-07/,0/
0,0.8958252838044817/0.10334541225951464/0.000829303936003896/,0.8958252838044817/0.10334541225951464/0.000829303936003896/,0/
0,0.1344839514446303/0.8421849894845503/0.023331059070819265/,0.1344839514446303/0.8421849894845503/0.023331059070819265/,1/
0,0.9998040966558809/0.00019590333716884123/6.9502740901695295e-12/,0.9998040966558809/0.00019590333716884123/6.9502740901695295e-12/,0/
0,0.9999998673088121/1.3269118744318185e-07/4.749435466989381e-16/,0.9999998673088121/1.3269118744318185e-07/4.749435466989381e-16/,0/
0,0.7891866419029215/0.17450187585693322/0.03631148224014516/,0.7891866419029215/0.17450187585693322/0.03631148224014516/,0/
0,0.9979840359088946/0.002015253008327931/7.110827775414635e-07/,0.9979840359088946/0.002015253008327931/7.110827775414635e-07/,0/
0,0.9996775718479458/0.00032242651793102316/1.6341231043963588e-09/,0.9996775718479458/0.00032242651793102316/1.6341231043963588e-09/,0/
0,0.9997501564245733/0.0002498403353784553/3.2400483241790783e-09/,0.9997501564245733/0.0002498403353784553/3.2400483241790783e-09/,0/
0,0.9983707259148035/0.0016261454237205895/3.1286614758900537e-06/,0.9983707259148035/0.0016261454237205895/3.1286614758900537e-06/,0/
0,0.9962493683522674/0.0036624510263664773/8.818062136620904e-05/,0.9962493683522674/0.0036624510263664773/8.818062136620904e-05/,0/
0,0.9995252292307535/0.00047454858661175866/2.2218263483753161e-07/,0.9995252292307535/0.00047454858661175866/2.2218263483753161e-07/,0/
0,0.9998834275550978/0.00011657242371743929/2.118480861102476e-11/,0.9998834275550978/0.00011657242371743929/2.118480861102476e-11/,0/
0,0.9999942281554869/5.7713500925042134e-06/4.944205568626568e-10/,0.9999942281554869/5.7713500925042134e-06/4.944205568626568e-10/,0/
0,0.9979109701741526/0.0020724685234801673/1.656130236722296e-05/,0.9979109701741526/0.0020724685234801673/1.656130236722296e-05/,0/
0,0.9854505556419029/0.014343313760350926/0.00020613059774616816/,0.9854505556419029/0.014343313760350926/0.00020613059774616816/,0/
0,0.999770240861925/0.0002297425020305086/1.663604449056277e-08/,0.999770240861925/0.0002297425020305086/1.663604449056277e-08/,0/
0,0.7962476144531998/0.20373454295757398/1.7842589226229087e-05/,0.7962476144531998/0.20373454295757398/1.7842589226229087e-05/,0/
0,0.9736535115888433/0.026337214438440178/9.273972716564352e-06/,0.9736535115888433/0.026337214438440178/9.273972716564352e-06/,0/
0,0.9973590228074393/0.002631274204116476/9.70298844423072e-06/,0.9973590228074393/0.002631274204116476/9.70298844423072e-06/,0/
0,0.9977227197302194/0.0022053155125154773/7.196475726513558e-05/,0.9977227197302194/0.0022053155125154773/7.196475726513558e-05/,0/
0,0.998855229876904/0.0011447600343255627/1.0088770345645413e-08/,0.998855229876904/0.0011447600343255627/1.0088770345645413e-08/,0/
0,0.9933351950395305/0.006664697934164745/1.0702630472737872e-07/,0.9933351950395305/0.006664697934164745/1.0702630472737872e-07/,0/
0,0.9864944418815682/0.013496140804417096/9.417314014736366e-06/,0.9864944418815682/0.013496140804417096/9.417314014736366e-06/,0/
0,0.9572270672033943/0.042201833783770064/0.0005710990128355683/,0.9572270672033943/0.042201833783770064/0.0005710990128355683/,0/
0,0.9132172872887523/0.08374266171417848/0.0030400509970691567/,0.9132172872887523/0.08374266171417848/0.0030400509970691567/,0/
0,0.9750122721331883/0.024843576614861373/0.00014415125195021015/,0.9750122721331883/0.024843576614861373/0.00014415125195021015/,0/
0,0.750133295776199/0.24983071631122772/3.5987912573383654e-05/,0.750133295776199/0.24983071631122772/3.5987912573383654e-05/,0/
0,0.9745875052463009/0.025398239854809875/1.4254898889232882e-05/,0.9745875052463009/0.025398239854809875/1.4254898889232882e-05/,0/
0,0.9977236129545668/0.002252780851893137/2.3606193539983563e-05/,0.9977236129545668/0.002252780851893137/2.3606193539983563e-05/,0/
0,0.45723870927626203/0.47873616856157547/0.06402512216216248/,0.45723870927626203/0.47873616856157547/0.06402512216216248/,1/
0,0.8370778770795676/0.16027852913286605/0.002643593787566278/,0.8370778770795676/0.16027852913286605/0.002643593787566278/,0/
0,0.9461220772667338/0.05387500703097398/2.915702292349108e-06/,0.9461220772667338/0.05387500703097398/2.915702292349108e-06/,0/
0,0.9430378064712901/0.05682119151771761/0.00014100201099237743/,0.9430378064712901/0.05682119151771761/0.00014100201099237743/,0/
0,0.9990416823947569/0.0009501468660554422/8.170739187532867e-06/,0.9990416823947569/0.0009501468660554422/8.170739187532867e-06/,0/
0,0.99936232102621/0.0006107942921349578/2.6884681655027232e-05/,0.99936232102621/0.0006107942921349578/2.6884681655027232e-05/,0/
0,0.9837257795266856/0.016228491997243157/4.572847607107816e-05/,0.9837257795266856/0.016228491997243157/4.572847607107816e-05/,0/
0,0.9268609797123383/0.07313527763211644/3.742655545158275e-06/,0.9268609797123383/0.07313527763211644/3.742655545158275e-06/,0/
0,0.9997165463955725/0.00028332040284058575/1.3320158676709676e-07/,0.9997165463955725/0.00028332040284058575/1.3320158676709676e-07/,0/
0,0.9990548382532023/0.0009180463081204022/2.7115438677330972e-05/,0.9990548382532023/0.0009180463081204022/2.7115438677330972e-05/,0/
0,0.9625677293698378/0.036502502288054385/0.0009297683421076734/,0.9625677293698378/0.036502502288054385/0.0009297683421076734/,0/
0,0.8899232000044748/0.10991445099471421/0.0001623490008109439/,0.8899232000044748/0.10991445099471421/0.0001623490008109439/,0/
0,2.6599795838312156e-05/0.8860570992822214/0.11391630092194029/,2.6599795838312156e-05/0.8860570992822214/0.11391630092194029/,1/
0,0.9605695198088043/0.039427679048731665/2.801142464003951e-06/,0.9605695198088043/0.039427679048731665/2.801142464003951e-06/,0/
0,0.9997215049431198/0.00027838864466884654/1.0641221137868834e-07/,0.9997215049431198/0.00027838864466884654/1.0641221137868834e-07/,0/
0,0.9990202926546403/0.000899814620594829/7.989272476489281e-05/,0.9990202926546403/0.000899814620594829/7.989272476489281e-05/,0/
0,0.9444100251965026/0.053348997229091824/0.00224097757440547/,0.9444100251965026/0.053348997229091824/0.00224097757440547/,0/
0,0.9859243392385839/0.01407552151272047/1.3924869564370347e-07/,0.9859243392385839/0.01407552151272047/1.3924869564370347e-07/,0/
0,0.9975432594747081/0.0024566207763617397/1.1974892996299293e-07/,0.9975432594747081/0.0024566207763617397/1.1974892996299293e-07/,0/
0,0.9956291532311093/0.004369392574041432/1.4541948491543722e-06/,0.9956291532311093/0.004369392574041432/1.4541948491543722e-06/,0/
0,0.9810069076286875/0.01873290739153054/0.00026018497978194443/,0.9810069076286875/0.01873290739153054/0.00026018497978194443/,0/
0,0.9651816849249941/0.03472651066261762/9.18044123882547e-05/,0.9651816849249941/0.03472651066261762/9.18044123882547e-05/,0/
0,0.990680627086559/0.009319342507204415/3.040623652351512e-08/,0.990680627086559/0.009319342507204415/3.040623652351512e-08/,0/
0,0.9995613617191252/0.0004386355192365148/2.7616383043693304e-09/,0.9995613617191252/0.0004386355192365148/2.7616383043693304e-09/,0/
0,0.9999284355318916/7.146398745841591e-05/1.0048065006471588e-07/,0.9999284355318916/7.146398745841591e-05/1.0048065006471588e-07/,0/
0,0.9985410329300926/0.001366725441031837/9.224162887570276e-05/,0.9985410329300926/0.001366725441031837/9.224162887570276e-05/,0/
